EGR1	MMP14	+
STAT3	PTGS2	+
TP53	DNMT1	-
ING1	BAX	+
STAT3	MYC	+
SPI1	IL1B	+
REL	IL1B	+
E2F1	CDK1	+
SOX2	RHO	-
STAT3	MUC4	+
ATF3	DDIT3	+
PAX5	TERT	+
HIF1A	EPO	+
EPAS1	VEGFA	+
NR3C1	ELK1	-
SP1	TERT	+
MECP2	ESR1	-
FOXL2	CYP19A1	-
RELA	NOX5	+
STAT3	CDK4	+
STAT1	IFNB1	-
ETV4	ETS1	+
GATA4	NOS3	+
FOSL2	FOSL1	+
HIF1A	ABCB1	-
SP1	EGR1	+
IRF1	MYB	-
RELA	MAT2A	+
ETS1	WT1	+
ING4	CXCL8	-
EP300	DNMT1	+
WT1	IGF1R	-
NKX3-1	CCND1	-
HSF1	CDKN1A	-
JUN	SMAD7	+
STAT3	EGFR	+
MYCN	HDAC2	+
HES1	PTEN	-
NCOR1	PPARG	-
BRCA1	ESR1	+
ZNF148	VIM	-
FOXO3	AR	+
NFKB1	IFNA1	+
SOX9	NR5A1	+
SPDEF	PLAUR	-
GATA2	AR	+
SP4	YY1	+
MYC	ODC1	+
ETS1	PF4	+
GATA1	CYBB	+
NR4A1	E2F1	+
NANOG	CDX2	-
HDAC1	EGFR	-
ELL	MDM2	-
TP53	PTEN	-
SP1	FXR2	+
PPARG	CCND1	-
RELA	CXCL1	+
OTX2	PAX6	+
IRF1	IRF2	+
FOXA1	CFTR	-
SOX10	COL11A2	+
EGR1	FAS	-
PAX6	MET	+
E2F1	PDK4	-
VDR	CDKN1B	+
MYC	CCNE1	+
MTA1	CDKN2A	+
RELA	TNFRSF10B	+
RELA	SIRT1	+
KAT2B	CDK2	-
SMAD3	MMP9	-
STAT3	VEGFA	+
NR4A1	MMP2	+
PPARG	PTGS2	-
RELA	MMP9	+
RB1	E2F3	-
CTNNB1	CCND1	+
SP1	MMP14	+
JUN	CDKN1A	-
KLF4	IL1B	-
FOXM1	CCNB1	+
SMAD3	TERT	-
SP1	CCND2	+
NFYB	CDKN1B	+
PPARG	EGFR	-
RUNX2	TWIST1	+
PARP1	E2F1	+
E2F1	ABCB1	+
E2F1	ETV4	+
USF2	CEACAM1	+
WT1	TERT	-
SP1	HMGA1	+
SRF	FOS	+
NR3C1	CDK4	-
BRCA1	IRF7	+
NR3C1	CDK6	-
WT1	CDH1	-
ZNF300	MYC	+
HOXB7	MMP2	+
SP1	TNFRSF10B	+
SIRT1	PPARG	-
STAT3	DDIT3	-
JUNB	EGFR	+
HDAC1	TFF1	-
AR	MUC1	-
KLF6	PTTG1	-
KLF4	IL6	+
EGR1	EGFR	+
RELA	MMP2	+
NR5A1	SRY	+
HIPK2	VIM	-
AR	REST	-
NR3C2	CD40	+
UHRF1	RB1	+
MTA1	BCL2L1	+
ING4	CCND1	-
ETS2	CSF3R	+
E2F1	MYC	+
MYCN	CTSD	+
STAT3	FAS	-
DR1	TBP	-
RB1	FOS	-
NR3C1	BAX	+
ETS1	FLI1	+
USF2	TGFB1	+
RELA	PTEN	+
AR	PTEN	+
STAT1	MMP13	-
RELA	PTHLH	+
BRCA1	CYP19A1	+
UHRF1	ABCB1	-
NKX3-1	AR	-
ZBTB16	CCNA2	-
ATF2	CCND1	+
SP3	KLK3	+
TP53	MYC	-
NR1I2	THBS1	+
STAT3	TP63	+
ATF2	ATF3	+
E2F1	RB1	+
NFKB1	SNAI1	+
HNF4A	AFP	+
NFKB1	IL2	+
MYB	ICAM1	-
SIRT1	XPC	-
NR1H4	CYP7A1	-
STAT1	CDKN1A	+
VDR	IL2	-
NFKB1	IL6	+
JUN	EGFR	+
USF2	ABCA1	+
STAT1	IL6	-
PITX1	IRF7	-
CEBPA	BCL2	-
VDR	IL6	-
GATA4	HDAC9	-
HNF4A	SERPINC1	+
SP3	EAPP	-
TFAP2A	MUC4	-
NR5A1	CYP19A1	+
GATA3	ERG	+
STAT1	CXCL10	-
NFKB1	CD40	+
SMAD3	APOC3	+
SP3	COL11A2	+
TP63	VDR	+
PITX1	TERT	-
NFKB1	IL12B	+
FOS	FAS	+
NFIC	CCL2	+
RELA	TFF1	+
RARA	ICAM1	+
HDAC1	CDKN1A	-
DNMT1	VEGFA	+
SOX6	CDKN1A	+
STAT3	VDR	-
ETS1	ERG	+
SOX9	AR	+
CREM	CREB1	-
ERCC2	CDKN1A	+
RELA	TNFSF10	+
GATA1	WT1	+
TWIST2	RBL2	-
BRCA1	CXCL1	-
NFKB1	EGFR	+
EZH2	SNAI2	-
ZNF300	CDKN1B	-
SMAD3	VDR	+
RELA	GATA3	+
HNF4A	MMP7	+
SOX2	VIM	+
MSC	FOXP3	+
HIF1A	CXCR4	+
PGR	RELA	-
USF1	SERPINE1	+
PML	IFNB1	+
MYC	HDAC2	+
FOXO3	CCND2	-
RELA	TNFAIP3	+
TCF3	CDKN1A	+
NFKB1	SERPINE1	+
SMAD3	CCND2	+
HDAC1	PCNA	-
JUN	MAT2A	+
GATA1	SPI1	-
NFKB1	LPL	+
STAT3	SOCS1	+
RELA	CXCR4	+
ABL1	BCL2	-
ABL1	BCL6	-
NFKB1	MMP1	+
PML	TNFSF10	+
NFKB1	MMP9	+
WT1	SRY	+
JUN	LDHA	+
PARP1	FOXO1	-
JUN	CD82	+
HDAC1	BRCA2	-
RELA	VCAM1	+
E2F1	TP73	+
BRCA1	IFNA1	+
TFAP2A	SLC19A1	+
PARP1	BRCA2	-
MTA1	SNAI1	+
HMGA1	BRCA1	-
NFKB1	GATA3	+
NFKB1	CCL2	+
CTNNB1	RB1	-
TWIST1	FOS	+
RELA	ICAM1	+
NFKB1	TNFRSF10B	+
NFKB1	MUC2	+
STAT3	TIMP1	+
USF1	CXCR4	+
KLF5	CXCR4	+
EGR1	TNF	+
MYB	WT1	+
CEBPE	SPI1	-
HDAC4	MMP13	-
CEBPA	STAR	+
HOXA10	MYCN	-
HDAC2	SNAI2	-
SMARCA4	FOS	-
FOXP2	PLAUR	+
ATF2	RELA	+
E2F1	MCL1	-
FOXA2	CFTR	-
AR	KLK3	+
RB1	E2F1	-
SIRT1	CCND1	-
FOSL2	TIMP1	-
RB1	BRCA1	-
ATF5	CREB1	+
SP2	HSD17B2	-
VDR	CYP7A1	-
FOXD3	MITF	-
ABL1	FOXO3	+
BCL6	HDAC7	-
CLOCK	NR0B2	+
MEF2D	JUN	+
EZH2	MMP2	+
SMARCA4	CDKN1A	+
RELA	CD80	+
TBP	IL6	-
PPARG	CIITA	-
ATF2	NOS3	-
RARA	THBD	+
ATF5	BCL2	+
USF1	CYP1A1	-
NR4A1	CDKN1B	+
USF1	PF4	+
EP300	CYBB	-
TP53	EZH2	-
HDAC4	WT1	-
AR	BTG2	-
FLI1	MMP1	-
CREBBP	HOXA10	+
ETS1	PTHLH	+
ATF4	CEBPB	+
PROX1	CCNE1	+
SMAD3	CDKN1A	+
STAT3	IL10	+
DR1	PTGS2	+
NANOG	AFP	-
MTA1	EGFR	+
FOS	MMP1	+
NR0B1	CYP19A1	-
SNAI2	VDR	-
HDAC9	ESR1	-
SP1	PTHLH	+
FOS	CCND1	-
KLF4	CDKN1A	+
KAT2B	SMAD4	+
EZH2	RUNX3	-
MYC	GATA1	-
MYC	GATA4	+
SMARCA4	CCND1	-
HIF1A	LEP	+
FOXO3	TXNIP	+
SMAD3	CYP17A1	-
IRF1	CDK4	-
SP2	MMP9	-
POU2F1	VCAM1	-
TP53	FOXM1	-
SP1	PTTG1	+
NR4A1	MDM2	-
BCL6	CCND2	-
ARNT	CYP1A1	+
STAT1	NOS2	+
RELA	BAX	-
FOXM1	MYC	+
NR4A1	HSD3B2	+
PAX8	E2F1	+
HDAC9	TNFRSF10B	-
FOXO4	TNFSF10	+
RELA	PROX1	+
MTA1	ESR1	-
GATA2	PPARG	-
STAT1	CEBPE	+
NFKB2	CCND2	+
SPI1	CYBB	+
JUN	SPI1	+
KLF8	CDH1	+
MYB	MYC	+
JUN	RARA	-
ZBTB7A	FOS	-
MYC	CFLAR	-
STAT3	CDKN1A	+
NR5A1	HSD3B2	+
SP1	MMP2	+
WT1	VDR	+
SP1	MMP9	+
HIPK2	HIF1A	-
YBX1	MET	+
ETS1	CA9	-
POU2F1	GADD45A	+
FOSL2	MDM2	+
JUN	ATF3	+
PPARG	MYC	-
RELA	TNC	+
PGR	ESR1	+
PAX5	BCL2	-
SMAD4	SERPINE1	+
SP1	NFKB1	+
TP53	HNF4A	-
RELA	SELE	+
STAT3	PRDM1	+
SALL4	CDH1	-
PAX5	XBP1	-
SRF	CREB1	-
AHR	CYP1A1	+
JUN	MYC	-
NFYA	SP3	+
ATF2	JUN	+
KAT2B	ZEB1	-
EAPP	ABCB1	+
CTNNB1	MYC	+
JUNB	CD82	+
USF1	ABCA1	+
FOXA2	CDH1	+
CEBPA	LEP	+
STAT3	ZFP36	+
ZNF382	JUN	-
HDAC2	CDH1	-
KLF6	ATF3	+
STAT3	NOX5	+
IRF1	CCNE1	-
SP3	FOXP3	-
KLF10	EGFR	-
SMAD3	PTHLH	+
RUNX3	MMP9	-
APC	ODC1	-
HDAC1	ABCB1	-
JUN	CCND1	+
PPARA	NFKBIA	+
SMARCA4	CDKN2A	+
IRF1	CIITA	+
ING1	TP53	+
EGR1	KLK3	-
CEBPA	SERPINC1	+
SMAD4	CDKN1A	+
PPARA	PDK4	+
ATF3	GDF15	+
DDIT3	ATF2	-
EP300	THBD	-
AHR	IL6	+
IRF7	ATF4	+
STAT5A	IFNG	+
DDIT3	ATF5	-
LEF1	MITF	+
ZBTB16	BCL2	-
NFKB1	CCND1	+
FLI1	ERG	+
HMGA1	POU1F1	+
TP53	FGF2	-
RELA	CFTR	+
MEN1	GAST	-
CEBPB	STAR	+
PITX1	HES1	-
ING4	SPP1	-
