MYL3	MYL2	0
GPC4	VCAN	0
MYH7	MYL1	0
KDM4C	CCNB1	0
RGS10	IFI27	0
ADD1	CAPG	0
TAGLN	CNN1	0
CCNF	FBXL5	0
MYBPC1	MYH2	0
ITGA6	MDK	0
AR	CAV1	0
S100A4	ANXA2	0
KIF5B	KIF11	0
FGG	FGA	0
MYH11	MYBPC1	0
LPAR1	CCK	0
DDX17	SF1	0
MYH11	RHOB	0
FLNA	FOLH1	0
PTPRC	CD79A	0
NEDD4	GJA1	0
ATF3	CCND1	0
CDK1	CALM3	0
EVI5	PLK1	0
CDC20	CDK1	0
FZD7	WNT5A	0
FHL1	TTN	0
TGFBR2	TGFBR3	0
STAT1	VDR	0
CAV1	GJA1	0
CDK1	GADD45G	0
HBD	HBG2	0
FEZ1	WWC1	0
SMAD3	BPTF	0
ACTN1	ZYX	0
KNG1	CCL21	0
UBE2C	CDK1	0
CITED2	SMAD3	0
KAT5	PLK1	0
OCLN	CAV1	0
LPAR4	ANXA1	0
CDC20	TK1	0
TRIP10	RHOB	0
AP2B1	BUB1	0
CCK	F2RL1	0
DES	TPM1	0
DDN	ACTN1	0
SHBG	FLNA	0
CBX4	CCNB1	0
AR	GAPDH	0
SERPING1	KNG1	0
GSN	VCL	0
JUN	JUNB	0
TGFBR2	AP2B1	0
FGFR1OP	PLK1	0
DPT	FN1	0
MYL1	TPM1	0
MDK	NID1	0
KLF6	CCND1	0
CCNF	CDK1	0
TPM3	TPM2	0
PDE4D	PPP3CA	0
ITPR1	CDK1	0
HBG2	HBB	0
FLNA	ITGB4	0
CLU	PF4	0
JUN	VDR	0
EDNRB	KNG1	0
EDNRB	EDNRA	0
FASN	TP63	0
VIPR1	ADRB2	0
CDC20	BUB1	0
NCOA3	NR3C1	0
NR1H2	VDR	0
NEDD4	ADRB2	0
JUN	STAT6	0
TPM3	SMAD3	0
FN1	FGL2	0
CDKN2A	ACTB	0
PLN	ATF3	0
PTGS2	ACSL4	0
BGN	SGCA	0
CKS2	CDK1	0
BTG2	CCNB1	0
DYNC1I2	CDK1	0
DMD	SGCG	0
MYLPF	MYH2	0
ZYX	F2R	0
GAS6	SERPINF2	0
FERMT2	PALLD	0
GSK3B	LGALS3	0
MYL3	MYH2	0
PLCB1	EDNRA	0
FEZ1	BRD1	0
EDNRB	F2R	0
ACTN1	PF4	0
TPM3	CALD1	0
AR	SMAD3	0
ACTA1	VCL	0
PLK1	SPC25	0
SEMG1	FGA	0
ALB	SERPING1	0
CKS2	CCNB1	0
EZH2	CDK1	0
GAS6	CLU	0
LGALS3	LGALS1	0
NR3C1	FKBP4	0
NR2E1	NR1H2	0
MYL1	MYH2	0
EDNRA	KNG1	0
ROR2	WNT5A	0
ACTN1	F5	0
COL6A2	COL14A1	0
CALD1	VCL	0
CDC20	SPC25	0
CFD	CLU	0
ITGA6	LAMA1	0
KAT5	H2AFV	0
GJA1	CAV2	0
ATF3	GSK3B	0
CNN1	TNNC1	0
MYO6	OPTN	0
MYH11	MYH7	0
DES	DMD	0
P2RY2	F2RL1	0
FGFR2	ITGA5	0
TPM3	TMOD1	0
F5	FN1	0
ACTN1	ADAM12	0
SERPING1	F13A1	0
MAPK8	F2RL1	0
BMP6	BMPR1A	0
MYOM1	MYH2	0
PLSCR1	TRAF4	0
CAV1	BMX	0
HSPD1	BAX	0
NCOA3	CDK19	0
CAV1	TRPC1	0
CCL5	KNG1	0
CASP6	LMNB1	0
FGFR2	FGF2	0
LPAR1	ANXA1	0
CDKN1C	NR4A2	0
FGB	FGL2	0
SHBG	ACPP	0
TTN	TMOD1	0
CCK	KNG1	0
GBP2	EGR1	0
HAPLN1	VCAN	0
MED12	NCOA3	0
NCOA3	MED21	0
CBLB	CD79A	0
AR	ACTG2	0
FHL1	CBX4	0
ANXA2	HBB	0
CFD	ALB	0
DMD	PDLIM3	0
MYBPC1	MYOM1	0
ABL1	FGFR1OP	0
GAS6	TGFB3	0
DPP4	FN1	0
MYBPC1	TPM1	0
SVIL	KIF22	0
GBP2	IFI27	0
CAV1	CAV2	0
LMOD1	VCL	0
RAP1GAP	CDK1	0
UBE2C	CCNB1	0
JUN	PTGS2	0
CFD	SERPINF2	0
MYL1	TNNT1	0
VCAN	CCL21	0
ZWINT	CDC20	0
CAV1	EDNRB	0
FLNA	FLNC	0
GPC4	BGN	0
STAT5A	AGAP2	0
DYNC1I1	DNALI1	0
SHBG	ACTB	0
HBD	HBA2	0
ZWINT	BUB1B	0
IL6ST	ERBB3	0
COL9A2	COL6A2	0
AR	GSN	0
FGFR2	EPHA4	0
SERPING1	SELP	0
ITGA6	BIN1	0
CFD	F13A1	0
LPAR1	F2R	0
ACTA1	DMD	0
CCK	F2R	0
TNNC2	TNNT1	0
TPM1	VCL	0
DES	MYBPC1	0
TGFB1I1	AR	0
NCOA3	SMAD3	0
FLNA	F3	0
KIF3A	KIF11	0
ACTN1	TGFB3	0
SLC4A4	SLC9A3R1	0
MYOM1	MYH7	0
P2RY2	ANXA1	0
DTNA	DMD	0
SEMG1	MFGE8	0
TRBC1	ALCAM	0
CXCR4	PTPRC	0
FN1	CLU	0
DMD	MYL3	0
HIST2H4B	KNG1	0
ATF3	JUNB	0
KIF5B	SNAP23	0
TNNC2	MYBPC1	0
TNNC2	MYL3	0
ABI2	KRT15	0
CLDN5	CLDN3	0
FLNA	CEACAM1	0
FN1	GAS6	0
FGA	FGB	0
ITGA8	FN1	0
MYBPC1	TNNT1	0
ITGA8	ITGB4	0
STAT1	STAT2	0
SSBP2	LMO2	0
TOX3	FOS	0
CFD	SERPING1	0
ACTB	ATF3	0
ANXA2	LAMB2	0
FLNA	RRAS	0
LPAR4	P2RY2	0
GPC4	HS3ST1	0
CCK	P2RY2	0
FHL2	IL6	0
TPM2	VCL	0
ACTA1	KAT5	0
FN1	SERPINF2	0
CALM3	FKBP4	0
NR2E1	NR4A2	0
ANG	FBLN1	0
MYL3	TMOD1	0
SMAD3	VDR	0
MAX	SMAD3	0
CDKN2A	TP63	0
KIF3A	AURKA	0
FLNA	WNT5A	0
NR2E1	RARB	0
MYL3	TNNT1	0
SYNM	BIN1	0
AR	CCND1	0
MYH11	MYOM1	0
LMOD1	CALD1	0
KNG1	TGFB3	0
ACTA1	CALD1	0
F13A1	TGFB3	0
AR	KAT5	0
PTTG1	AURKA	0
DMD	MYL2	0
AR	KLK3	0
F5	KNG1	0
MYH7	MYL3	0
PLN	CALM3	0
ACTN1	SERPINF2	0
LPAR4	KNG1	0
UBE2C	PLK1	0
SLC12A5	WNK1	0
NCOA3	ETS2	0
AR	KLK2	0
BDNF	MAPK8	0
ABL1	JUN	0
EDNRA	P2RY2	0
PF4	KNG1	0
F5	CLU	0
TNK2	AXL	0
ACTN1	FN1	0
C1S	SERPING1	0
DDN	WWC1	0
TFAP2A	CITED2	0
TPM2	TMOD1	0
TNC	VCAN	0
GSN	FN1	0
GSN	MFGE8	0
MAPK8	NR4A1	0
ETS2	FOS	0
MYBPC1	TTN	0
ACTN1	SPTBN1	0
TGFB1I1	VCL	0
HMGB2	NR3C1	0
EZH2	EGR1	0
CDH1	TTK	0
TNNT1	TMOD1	0
FLNA	CCNB1	0
PLP1	ITGA5	0
OCLN	ACPP	0
IFITM1	GBP2	0
JUN	JUND	0
FHL1	MYBPC1	0
TNNT1	MYL2	0
FN1	CD79A	0
ATF3	EGR1	0
IFITM3	NAMPT	0
SERPINF2	KLK2	0
TNNC2	TTN	0
CDK1	CCNB1	0
ZWINT	SMTN	0
FGG	FGL2	0
FGG	ITGA5	0
CALD1	CDK1	0
TPX2	AURKA	0
MYO6	CALM3	0
JUN	SMAD3	0
HSPD1	MAT2A	0
BLM	EXO1	0
KAT5	EDNRA	0
CALD1	CALM3	0
PTTG1	BUB1B	0
CDKN1C	HIST2H4B	0
EDNRA	ANXA1	0
CCK	ALB	0
PARP4	AURKA	0
ACTN1	TTN	0
TPM3	VCL	0
MED12	MED21	0
MYL1	MYL9	0
ANXA2	IGF1	0
EDNRB	P2RY2	0
UBE2C	AURKA	0
FGA	FGL2	0
DARC	CCL2	0
GHRHR	ADRB2	0
JUN	FOSB	0
ERBB3	FOXA1	0
VCAN	SELP	0
CCL5	IL6	0
CLU	TGFB3	0
MYOM1	MYL3	0
CYFIP2	ABI2	0
FN1	FBLN1	0
DPYSL3	FERMT2	0
CAV1	NOS3	0
CCNB1	GAPDH	0
PBX1	MEIS2	0
CDC20	TTK	0
TGFB1I1	NR3C1	0
GSN	TPM1	0
MYOM1	MYL1	0
KNG1	ANXA1	0
IGF1	IGFBP6	0
FOS	JUND	0
